+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| SUUR0000SA0 | 2022 |  M12   | 166.284 |  Interim  |
| SUUR0000SA0 | 2022 |  M11   | 166.690 |  Interim  |
| SUUR0000SA0 | 2022 |  M10   | 166.796 |  Interim  |
| SUUR0000SA0 | 2022 |  M09   | 166.128 |  Interim  |
| SUUR0000SA0 | 2022 |  M08   | 165.656 |  Interim  |
| SUUR0000SA0 | 2022 |  M07   | 165.457 |  Interim  |
| SUUR0000SA0 | 2022 |  M06   | 165.265 |  Interim  |
| SUUR0000SA0 | 2022 |  M05   | 163.317 |  Interim  |
| SUUR0000SA0 | 2022 |  M04   | 161.738 |  Interim  |
| SUUR0000SA0 | 2022 |  M03   | 160.852 |           |
| SUUR0000SA0 | 2022 |  M02   | 158.635 |           |
| SUUR0000SA0 | 2022 |  M01   | 157.197 |           |
| SUUR0000SA0 | 2021 |  M12   | 155.926 |           |
| SUUR0000SA0 | 2021 |  M11   | 155.538 |           |
| SUUR0000SA0 | 2021 |  M10   | 154.884 |           |
| SUUR0000SA0 | 2021 |  M09   | 153.734 |           |
| SUUR0000SA0 | 2021 |  M08   | 153.301 |           |
| SUUR0000SA0 | 2021 |  M07   | 153.076 |           |
| SUUR0000SA0 | 2021 |  M06   | 152.295 |           |
| SUUR0000SA0 | 2021 |  M05   | 151.022 |           |
| SUUR0000SA0 | 2021 |  M04   | 149.903 |           |
| SUUR0000SA0 | 2021 |  M03   | 148.746 |           |
| SUUR0000SA0 | 2021 |  M02   | 147.845 |           |
| SUUR0000SA0 | 2021 |  M01   | 147.125 |           |
| SUUR0000SA0 | 2020 |  M12   | 146.408 |           |
| SUUR0000SA0 | 2020 |  M11   | 146.242 |           |
| SUUR0000SA0 | 2020 |  M10   | 146.382 |           |
| SUUR0000SA0 | 2020 |  M09   | 146.417 |           |
| SUUR0000SA0 | 2020 |  M08   | 146.270 |           |
| SUUR0000SA0 | 2020 |  M07   | 145.747 |           |
| SUUR0000SA0 | 2020 |  M06   | 144.847 |           |
| SUUR0000SA0 | 2020 |  M05   | 144.018 |           |
| SUUR0000SA0 | 2020 |  M04   | 144.142 |           |
| SUUR0000SA0 | 2020 |  M03   | 144.913 |           |
| SUUR0000SA0 | 2020 |  M02   | 145.193 |           |
| SUUR0000SA0 | 2020 |  M01   | 144.813 |           |
+-------------+------+--------+---------+-----------+
